,CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location,lat,lng
8278,BURG - AUTO,04/09/2020 02:27:00 PM,20-908300,BURGLARY-AUTO,77X,2700 MIDDLE HARBOR ROAD,Oakland,CA,"2700 MIDDLE HARBOR ROAD
Oakland, CA",37.7976487,-122.3048611
8279,BURG - AUTO,04/10/2020 12:50:00 PM,20-908313,BURGLARY-AUTO,20X,2800 CHAPMAN ST,Oakland,CA,"2800 CHAPMAN ST
Oakland, CA
(37.774687, -122.236124)",37.7747492,-122.2361067
8280,PETTY THEFT,03/30/2020 12:00:00 AM,20-018342,THEFT,24X,2400 HIGH ST,Oakland,CA,"2400 HIGH ST
Oakland, CA
(37.780833, -122.205812)",37.7807,-122.2055324
8281,ARSON,03/17/2020 11:43:00 PM,20-015006,MAL SET/ETC FIRE PROP/ETC,06X,700 36TH ST,Oakland,CA,"700 36TH ST
Oakland, CA
(37.825347, -122.270801)",37.82552099999999,-122.2707283
8282,VANDALISM,04/10/2020 07:45:00 AM,20-908294,VANDALISM,08X,3300 BROADWAY,Oakland,CA,"3300 BROADWAY
Oakland, CA
(37.820644, -122.260924)",37.8205754,-122.2606703
8283,DISORDERLY CONDUCT,04/09/2020 09:20:00 AM,20-908261,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,14X,200 EUCLID AV,Oakland,CA,"200 EUCLID AV
Oakland, CA
(37.815684, -122.253586)",37.8156835,-122.2536024
8284,,05/08/2020 05:45:00 PM,20-023134,VEHICLE THEFT - AUTO,22X,3500 FRUITVALE AV,Oakland,CA,"3500 FRUITVALE AV
Oakland, CA
(37.800418, -122.216111)",37.8002191,-122.2159381
8285,FELONY ASSAULT,03/23/2020 12:55:00 PM,20-908317,ASSAULT,77X,ALICE ST,Oakland,CA,"ALICE ST
Oakland, CA",37.7990347,-122.2685864
8286,BURG - AUTO,04/10/2020 04:30:00 AM,20-908292,BURGLARY-AUTO,16X,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810256, -122.245497)",37.8100554,-122.2454436
8287,GRAND THEFT,03/21/2020 03:30:00 AM,20-908311,THEFT,09X,4400 GILBERT ST,Oakland,CA,"4400 GILBERT ST
Oakland, CA
(37.832057, -122.2514)",37.8321401,-122.2513373
8288,,05/08/2020 10:04:00 PM,20-023166,DUI ALCOHOL/DRUGS,30Y,2600 73RD AV.,Oakland,CA,"2600 73RD AV.
Oakland, CA
(37.766901, -122.175421)",37.7667869,-122.1753367
8289,GRAND THEFT,04/03/2020 09:30:00 AM,20-908263,MAIL/ETC THEFT/ETC,12X,4700 TELEGRAPH AV,Oakland,CA,"4700 TELEGRAPH AV
Oakland, CA
(37.834351, -122.263049)",37.834282,-122.262679
8290,BURG - COMMERCIAL,04/21/2020 12:40:00 AM,20-020178,BURGLARY-FORCIBLE ENTRY,26X,5100 INTERNATIONAL BLVD,Oakland,CA,"5100 INTERNATIONAL BLVD
Oakland, CA
(37.769104, -122.20784)",37.7690656,-122.2077632
8291,STOLEN VEHICLE,04/19/2020 09:33:00 AM,20-019922,VEHICLE THEFT - AUTO,32X,9900 E ST,Oakland,CA,"9900 E ST
Oakland, CA
(37.740498, -122.176132)",37.7406142,-122.1759132
8292,GRAND THEFT,04/25/2020 03:35:00 PM,20-909283,GRAND THEFT,04X,1800 JEFFERSON ST,Oakland,CA,"1800 JEFFERSON ST
Oakland, CA
(37.808197, -122.273246)",37.8082235,-122.2729606
8293,BURG - AUTO,04/10/2020 03:35:00 AM,20-908297,BURGLARY-AUTO,17Y,1300 E 34TH ST,Oakland,CA,"1300 E 34TH ST
Oakland, CA
(37.801519, -122.231285)",37.8017155,-122.2322561
8294,BURG - AUTO,04/19/2020 11:00:00 PM,20-908836,BURGLARY-AUTO,30X,1400 79TH AV,Oakland,CA,"1400 79TH AV
Oakland, CA
(37.757034, -122.182423)",37.75704229999999,-122.1825105
8295,WEAPONS,04/06/2020 09:35:00 AM,20-017944,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,06X,900 35TH ST,Oakland,CA,"900 35TH ST
Oakland, CA
(37.825542, -122.275198)",37.8255491,-122.275209
8296,DUI,05/03/2020 01:43:00 AM,20-022176,DUI ALCOHOL/DRUGS,22X,4000 WATERHOUSE RD,Oakland,CA,"4000 WATERHOUSE RD
Oakland, CA
(37.80808, -122.213187)",37.8080101,-122.2128584
8297,FELONY ASSAULT,04/11/2020 02:32:00 AM,20-018669,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,24X,2400 35TH AV,Oakland,CA,"2400 35TH AV
Oakland, CA
(37.786467, -122.212958)",37.7863201,-122.2128916
8298,PETTY THEFT,02/17/2020 01:00:00 AM,20-009842,THEFT,25X,3700 GREEN ACRE RD,Oakland,CA,"3700 GREEN ACRE RD
Oakland, CA
(37.786797, -122.190982)",37.7866183,-122.1907682
8299,VANDALISM,04/08/2020 01:20:00 PM,20-908273,VANDALISM,05Y,1600 15TH ST,Oakland,CA,"1600 15TH ST
Oakland, CA
(37.812402, -122.294194)",37.8120433,-122.2934441
